TOK_IDENTIFICATION | IDENTIFICATION
TOK_DIVISION | DIVISION
TOK_PERIOD | .
TOK_PROGRAM_ID | PROGRAM-ID
TOK_PERIOD | .
TOK_IDENTIFIER | test-program
TOK_PERIOD | .
TOK_ENVIRONMENT | ENVIRONMENT
TOK_DIVISION | DIVISION
TOK_PERIOD | .
TOK_CONFIGURATION | CONFIGURATION
TOK_SECTION | SECTION
TOK_PERIOD | .
TOK_SOURCE_COMPUTER | SOURCE-COMPUTER
TOK_PERIOD | .
TOK_IDENTIFIER | Intel
TOK_PERIOD | .
TOK_OBJECT_COMPUTER | OBJECT-COMPUTER
TOK_PERIOD | .
TOK_IDENTIFIER | Motorola
TOK_PERIOD | .
TOK_DATA | DATA
TOK_DIVISION | DIVISION
TOK_PERIOD | .
TOK_WORKING_STORAGE | WORKING-STORAGE
TOK_SECTION | SECTION
TOK_PERIOD | .
TOK_INTEGER | 01
TOK_IDENTIFIER | varx
TOK_PERIOD | .
TOK_INTEGER | 05
TOK_IDENTIFIER | vary
TOK_PICTURE | PICTURE
TOK_IS | IS
TOK_PIC_TEXT | 9999
TOK_PERIOD | .
TOK_INTEGER | 05
TOK_IDENTIFIER | varz
TOK_PICTURE | PICTURE
TOK_IS | IS
TOK_PIC_TEXT | 9(5)
TOK_VALUE | VALUE
TOK_IS | IS
TOK_INTEGER | 60
TOK_PERIOD | .
TOK_INTEGER | 05
TOK_IDENTIFIER | address
TOK_PERIOD | .
TOK_INTEGER | 07
TOK_IDENTIFIER | house
TOK_PICTURE | PICTURE
TOK_IS | IS
TOK_PIC_TEXT | 9(6)
TOK_VALUE | VALUE
TOK_IS | IS
TOK_INTEGER | 504
TOK_PERIOD | .
TOK_PROCEDURE | PROCEDURE
TOK_DIVISION | DIVISION
TOK_PERIOD | .
TOK_DISPLAY | DISPLAY
TOK_STRING | "ThIS IS a cobol program"
TOK_PERIOD | .
TOK_DISPLAY | DISPLAY
TOK_IDENTIFIER | varx
TOK_PERIOD | .
TOK_MOVE | MOVE
TOK_INTEGER | 768
TOK_TO | TO
TOK_IDENTIFIER | vary
TOK_COMMA | ,
TOK_IDENTIFIER | varz
TOK_PERIOD | .
TOK_ADD | ADD
TOK_IDENTIFIER | vary
TOK_TO | TO
TOK_IDENTIFIER | varz
TOK_PERIOD | .
TOK_SUBTRACT | SUBTRACT
TOK_INTEGER | 5
TOK_FROM | FROM
TOK_IDENTIFIER | vary
TOK_PERIOD | .
TOK_MULTIPLY | MULTIPLY
TOK_IDENTIFIER | vary
TOK_BY | BY
TOK_INTEGER | 2
TOK_PERIOD | .
TOK_DIVIDE | DIVIDE
TOK_IDENTIFIER | varz
TOK_BY | BY
TOK_INTEGER | 3
TOK_PERIOD | .
TOK_DISPLAY | DISPLAY
TOK_IDENTIFIER | varx
TOK_PERIOD | .
